ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
M01896:197:000000000-ANEHB:1:1101:3102:10434_CONS_SUB_SUB_CMP,True,1,1,0,1,11,1.0,1.0,1,0,False,32,False
MISEQ01:3:000000000-ALULJ:1:1110:17968:27993_CONS_SUB_SUB,True,1,1,0,1,10,0.994,0.994,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1113:9335:7827_CONS_SUB_SUB_CMP,False,4,4,0,4,8,1.0,0.015,0,0,False,16,False
M01896:197:000000000-ANEHB:1:2111:24576:7185_CONS_SUB_SUB_CMP,True,2,2,0,2,13,0.998,0.001,0,0,False,20,False
M00595:3:000000000-ALULJ:1:1102:27741:20205_CONS_SUB_SUB,False,6,6,4,2,11,0.133,0.001,0,0,False,17,False
M00595:3:000000000-ALULJ:1:2103:7958:24183_CONS_SUB_SUB_CMP,False,9,9,0,9,11,0.144,0.001,0,0,False,50,True
M00595:3:000000000-ALULJ:1:1109:18909:7255_CONS_SUB_SUB,False,4,4,0,4,13,0.193,0.001,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2112:3513:12778_CONS_SUB_SUB,False,3,3,2,1,3,0.113,0.001,2,1,True,33,True
M00595:3:000000000-ALULJ:1:2105:13349:27999_CONS_SUB_SUB,False,7,7,0,7,11,0.113,0.001,0,0,False,47,False
MISEQ01:3:000000000-ALULJ:1:2106:16244:22346_CONS_SUB_SUB_CMP,False,1,1,0,1,4,0.002,0.002,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2112:18169:10156_CONS_SUB_SUB,False,3,3,0,3,12,0.142,0.001,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2108:4255:16523_CONS_SUB_SUB,True,2,2,0,2,13,0.969,0.142,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2107:27492:10160_CONS_SUB_SUB,False,4,4,0,4,13,0.969,0.007,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1102:6163:16237_CONS_SUB_SUB_CMP,False,6,6,3,3,10,0.109,0.009,2,0,False,47,False
M01896:197:000000000-ANEHB:1:1110:5021:16391_CONS_SUB_SUB,False,1,1,0,1,4,0.504,0.504,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1114:22555:14624_CONS_SUB_SUB_CMP,True,1,1,0,1,13,1.0,1.0,1,0,False,34,False
M01896:197:000000000-ANEHB:1:2101:14245:13303_CONS_SUB_SUB,False,2,2,1,1,9,0.339,0.338,8,0,False,50,False
M01896:197:000000000-ANEHB:1:1111:17578:9963_CONS_SUB_SUB_CMP,False,2,2,0,2,12,0.643,0.355,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1104:5328:15410_CONS_SUB_SUB,False,1,1,0,1,12,0.027,0.027,1,0,False,18,False
M01896:197:000000000-ANEHB:1:1110:7052:13492_CONS_SUB_SUB,False,2,2,1,1,13,0.77,0.018,5,1,True,50,False
M00595:3:000000000-ALULJ:1:2113:23717:6034_CONS_SUB_SUB,False,13,13,0,13,12,0.77,0.001,0,0,False,50,True
M00595:3:000000000-ALULJ:1:1107:21032:26517_CONS_SUB_SUB_CMP,False,3,3,2,1,12,0.489,0.022,0,0,False,12,False
M00595:3:000000000-ALULJ:1:1109:4389:20383_CONS_SUB_SUB,False,2,2,0,2,13,0.489,0.185,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1114:4712:21647_CONS_SUB_SUB_CMP,True,1,1,0,1,12,1.0,1.0,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1107:11091:14016_CONS_SUB_SUB_CMP,True,2,2,0,2,11,0.991,0.001,0,0,False,22,False
